央视频道,#genre#
咪咕视频1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226240/index.m3u8$江西移动
咪咕视频2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226243/index.m3u8$江西移动

影视频道,#genre#
CHC高清电影,http://10.231.253.152/PLTV/88888888/224/3221226990/86128784.smil/index.m3u8?fmt=ts2hls$江西电信
CHC动作电影,http://10.231.253.152/PLTV/88888888/224/3221226992/86128817.smil/index.m3u8?fmt=ts2hls$江西电信
CHC家庭影院,http://10.231.253.152/PLTV/88888888/224/3221226959/86128800.smil/index.m3u8?fmt=ts2hls$江西电信
东方影视,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000013/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000013&IASHttpSessionId=OTT19019320240419154124000281&yang-1989#http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/dsjpdhd/4000000/mnf.m3u8$超清#migu://617290047$咪咕高清
星影,http://10.231.253.152/PLTV/88888888/224/3221227042/86502073.smil/index.m3u8?fmt=ts2hls$江西电信
精彩影视,http://10.231.253.152/PLTV/88888888/224/3221227052/86502219.smil/index.m3u8?fmt=ts2hls$江西电信
动作影院,http://10.231.253.152/PLTV/88888888/224/3221226999/86441130.smil/index.m3u8?fmt=ts2hls$江西电信
武侠剧场,http://10.231.253.152/PLTV/88888888/224/3221227003/86441017.smil/index.m3u8?fmt=ts2hls$江西电信
爱上4K,http://10.231.253.152/PLTV/88888888/224/3221227025/86502164.smil/index.m3u8?fmt=ts2hls$江西电信

少儿动漫,#genre#
动漫秀场,http://182.104.129.23/PLTV/88888888/224/3221225613/iptv7997.smil/index.m3u8?fmt=ts2hls$江西电信
金鹰卡通,http://182.104.129.23/PLTV/88888888/224/3221226972/80382319.smil/index.m3u8?fmt=ts2hls$江西电信#hunantv://287$官网
炫动卡通,http://182.104.129.23/PLTV/88888888/224/3221225583/iptv7982.smil/index.m3u8?fmt=ts2hls$江西电信#migu://618954663$咪咕
嘉佳卡通,http://182.104.129.23/PLTV/88888888/224/3221225588/10000100000000060000000000140157_0.smil/index.m3u8?fmt=ts2hls$江西电信
卡酷少儿,http://182.104.129.23/PLTV/88888888/224/3221225566/iptv101695.smil/index.m3u8?fmt=ts2hls$江西电信
优优宝贝,rtsp://115.153.254.81/PLTV/88888888/224/3221227050/86502131.smil$江西电信
少儿动画,rtsp://115.153.254.81/PLTV/88888888/224/3221227006/86440922.smil$江西电信
新动漫,rtsp://115.153.254.81/PLTV/88888888/224/3221226973/86129004.smil$江西电信

new系列,#genre#
动作电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/dongzuody/index.m3u8
军旅剧场,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/junlvjc/index.m3u8
惊悚悬疑,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/jingsongxy/index.m3u8
黑莓电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/jdianying/index.m3u8
爱情喜剧,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/aiqingxj/index.m3u8
精品大剧,http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/jdaju/index.m3u8
超级体育,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8#http://[2409:8087:3800:20:1000::408]:8080/hwrr.jx.chinamobile.com/TVOD/88888888/224/3221225767/index.m3u8?/PLTV/.smil/index.m3u8?fmt=ts2hls
精品体育,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8#http://[2409:8087:3800:20:1000::808]:8080/hwrr.jx.chinamobile.com/TVOD/88888888/224/3221225709/index.m3u8?/PLTV/.smil/index.m3u8?fmt=ts2hls
超级电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8#http://[2409:8087:3800:20:1000::408]:8080/hwrr.jx.chinamobile.com/TVOD/88888888/224/3221225623/index.m3u8?/PLTV/.smil/index.m3u8?fmt=ts2hls
超级综艺,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8#http://[2409:8087:3800:20:1000::408]:8080/hwrr.jx.chinamobile.com/TVOD/88888888/224/3221225620/index.m3u8?/PLTV/.smil/index.m3u8?fmt=ts2hls
超级电视剧,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8#http://[2409:8087:3800:20:1000::408]:8080/hwrr.jx.chinamobile.com/TVOD/88888888/224/3221225625/index.m3u8?/PLTV/.smil/index.m3u8?fmt=ts2hls
欢乐剧场,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8#http://[2409:8087:3800:2020:1000::40c]:8080/hwrr.jx.chinamobile.com/TVOD/88888888/224/3221226210/index.m3u8?/PLTV/.smil/index.m3u8?fmt=ts2hls
黑莓电竞,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/wmyx/index.m3u8$江西移动
